date,bank,currency_code,buy_rate,sell_rate
2026-05-03,Nations Trust Bank,GBP,312.82,325.82
2026-05-03,Nations Trust Bank,EUR,420.14,440.43
2026-05-03,Nations Trust Bank,JPY,363.21,381.96
2026-05-03,Nations Trust Bank,NZD,1.94,2.04
2026-05-03,Nations Trust Bank,THB,180.93,191.73
2026-05-03,Nations Trust Bank,AED,9.4,10.1
2026-05-03,Nations Trust Bank,AUD,83.7,90.18
2026-05-03,Nations Trust Bank,BHD,220.35,234.89
2026-05-03,Nations Trust Bank,CAD,809.87,881.8
2026-05-03,Nations Trust Bank,CHF,228.04,238.82
2026-05-03,Nations Trust Bank,DKK,391.17,415.67
2026-05-03,Nations Trust Bank,HKD,48.5,51.22
2026-05-03,Nations Trust Bank,JOD,39.54,41.97
2026-05-03,Nations Trust Bank,KWD,430.72,470.12
2026-05-03,Nations Trust Bank,MYR,996.64,1086.84
2026-05-03,Nations Trust Bank,SGD,77.07,83.91
2026-05-03,Nations Trust Bank,SEK,242.81,255.85
2026-05-03,Nations Trust Bank,SAR,33.32,35.24
2026-05-03,Nations Trust Bank,QAR,81.65,88.64
2026-05-03,Nations Trust Bank,NOK,83.82,91.47
2026-05-03,Nations Trust Bank,OMR,33.37,35.15
